Building;z;Floor label prefix;Floorplan label
"LECTURE THEATRE - QAD7 (BUILDING 898) (id: 1708)";1.0;898;QAD6
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;021
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;03
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;04
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;04.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;04.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;04.03
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;04.04
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;042
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;042.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;043
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;05
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;06
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;061
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;062
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;063
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;07
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;08
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;08.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;08.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;08.03
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;08.04
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;08.05
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;081
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;081.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;081.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;09
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;091
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;10
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;11
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;12
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;12.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;12.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;12.03
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;13
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;13.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";1.0;901;14
