Building;z;Floor label prefix;Floorplan label
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";-1.0;710;B01
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;CG01
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;CG02
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;CG03
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G01
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G02
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G03
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G04
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G05
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G06
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G07
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G08
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G09
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G10
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G11
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;G12
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";1.0;710;SG01
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;101
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;102
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;103
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;104
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;105
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;106
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;107
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;108
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;109
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;C101
"TREMEARNE HOUSE (BUILDING 710) (id: 1728)";2.0;710;S101
"WOOD TECHNOLOGY LABORATORY (BUILDING 712) (id: 1730)";1.0;712;G01
"WOOD TECHNOLOGY LABORATORY (BUILDING 712) (id: 1730)";2.0;712;101
"SEMINAR CENTRE (BUILDING 713) (id: 1731)";1.0;713;G01
"SEMINAR CENTRE (BUILDING 713) (id: 1731)";1.0;713;G03
"SEMINAR CENTRE (BUILDING 713) (id: 1731)";1.0;713;G04
"SEMINAR CENTRE (BUILDING 713) (id: 1731)";1.0;713;G05
"SEMINAR CENTRE (BUILDING 713) (id: 1731)";1.0;713;G06
