Building;z;Floor label prefix;Floorplan label
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G01
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G01A
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G02
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G03
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G03A
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G04
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G04A
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G05
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G06
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G07
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G08
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G09
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G09A
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G10
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G11
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G12
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G13
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G14
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G14A
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G15
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G16
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G17
"ACADEMIC CENTRE - MAIN BUILDING (BUILDING 505) (id: 1756)";1.0;505;G18
