Building;z;Floor label prefix;Floorplan label
" (id: 1283)";1.0;130;CG01
" (id: 1283)";1.0;130;CG02
" (id: 1283)";1.0;130;CG03
" (id: 1283)";1.0;130;CG04
" (id: 1283)";1.0;130;CG05
" (id: 1283)";1.0;130;CG06
" (id: 1283)";1.0;130;CG07
" (id: 1283)";1.0;130;CG08
" (id: 1283)";1.0;130;CG09
" (id: 1283)";1.0;130;CG10
" (id: 1283)";1.0;130;CG11
" (id: 1283)";1.0;130;CG12
" (id: 1283)";1.0;130;CG13
" (id: 1283)";1.0;130;CG14
" (id: 1283)";1.0;130;CG15
" (id: 1283)";1.0;130;CG16
" (id: 1283)";1.0;130;CG17
" (id: 1283)";1.0;130;CG18
" (id: 1283)";1.0;130;CG19
" (id: 1283)";1.0;130;CG20
" (id: 1283)";1.0;130;CG21
" (id: 1283)";1.0;130;CG22
" (id: 1283)";1.0;130;CG23
" (id: 1283)";1.0;130;CG24
" (id: 1283)";1.0;130;CG25
" (id: 1283)";1.0;130;CG26
" (id: 1283)";1.0;130;G01
" (id: 1283)";1.0;130;G01A
" (id: 1283)";1.0;130;G02
" (id: 1283)";1.0;130;G02A
" (id: 1283)";1.0;130;G03
" (id: 1283)";1.0;130;G03A
" (id: 1283)";1.0;130;G03B
" (id: 1283)";1.0;130;G04
" (id: 1283)";1.0;130;G05
" (id: 1283)";1.0;130;G06
" (id: 1283)";1.0;130;G07
" (id: 1283)";1.0;130;G07.01
" (id: 1283)";1.0;130;G07A
" (id: 1283)";1.0;130;G07B
" (id: 1283)";1.0;130;G07B.01
" (id: 1283)";1.0;130;G07C
" (id: 1283)";1.0;130;G07D
" (id: 1283)";1.0;130;G08
" (id: 1283)";1.0;130;G09
" (id: 1283)";1.0;130;G10
" (id: 1283)";1.0;130;G11
" (id: 1283)";1.0;130;G11.01
" (id: 1283)";1.0;130;G11.02
" (id: 1283)";1.0;130;G11.03
" (id: 1283)";1.0;130;G11A
" (id: 1283)";1.0;130;G12
" (id: 1283)";1.0;130;G13
" (id: 1283)";1.0;130;G14A
" (id: 1283)";1.0;130;G14B
" (id: 1283)";1.0;130;G14C
" (id: 1283)";1.0;130;G16
" (id: 1283)";1.0;130;G18
" (id: 1283)";1.0;130;G18.01
" (id: 1283)";1.0;130;G19
" (id: 1283)";1.0;130;G20
" (id: 1283)";1.0;130;G21
" (id: 1283)";1.0;130;G22
" (id: 1283)";1.0;130;G22.01
" (id: 1283)";1.0;130;G22.02
" (id: 1283)";1.0;130;G22.03
" (id: 1283)";1.0;130;G22.04
" (id: 1283)";1.0;130;G26
" (id: 1283)";1.0;130;G27
" (id: 1283)";1.0;130;G28
" (id: 1283)";1.0;130;G29
" (id: 1283)";1.0;130;G29A
" (id: 1283)";1.0;130;G30
" (id: 1283)";1.0;130;G33
" (id: 1283)";1.0;130;G34
" (id: 1283)";1.0;130;G35
" (id: 1283)";1.0;130;G36
" (id: 1283)";1.0;130;G37
" (id: 1283)";1.0;130;G39
" (id: 1283)";1.0;130;G40
" (id: 1283)";1.0;130;G40A
" (id: 1283)";1.0;130;G41
" (id: 1283)";1.0;130;G43
" (id: 1283)";1.0;130;G50
" (id: 1283)";1.0;130;G50A
" (id: 1283)";1.0;130;G51
" (id: 1283)";1.0;130;G52
" (id: 1283)";1.0;130;G53
" (id: 1283)";1.0;130;G54
" (id: 1283)";1.0;130;G55A
" (id: 1283)";1.0;130;G55B
" (id: 1283)";1.0;130;G55C
" (id: 1283)";1.0;130;G55D
" (id: 1283)";1.0;130;G56
" (id: 1283)";1.0;130;G56A
" (id: 1283)";1.0;130;G57
" (id: 1283)";1.0;130;G58
" (id: 1283)";1.0;130;G59
" (id: 1283)";1.0;130;G59A
" (id: 1283)";1.0;130;G59A.01
" (id: 1283)";1.0;130;G61
" (id: 1283)";1.0;130;G62
" (id: 1283)";1.0;130;G64
" (id: 1283)";1.0;130;G65
" (id: 1283)";1.0;130;G66
" (id: 1283)";1.0;130;G67
" (id: 1283)";1.0;130;G67A
" (id: 1283)";1.0;130;G68
" (id: 1283)";1.0;130;G69
" (id: 1283)";1.0;130;G70
" (id: 1283)";1.0;130;G75
" (id: 1283)";1.0;130;G76
" (id: 1283)";1.0;130;G77
" (id: 1283)";1.0;130;G78
" (id: 1283)";1.0;130;G79
" (id: 1283)";1.0;130;G80
" (id: 1283)";1.0;130;G81
" (id: 1283)";1.0;130;LG01
" (id: 1283)";1.0;130;LG01B
" (id: 1283)";1.0;130;LG02
" (id: 1283)";1.0;130;LG03
" (id: 1283)";1.0;130;LG04
" (id: 1283)";1.0;130;RG01
" (id: 1283)";1.0;130;SG01
" (id: 1283)";1.0;130;SG02
" (id: 1283)";1.0;130;SG03
" (id: 1283)";1.0;130;SG04
" (id: 1283)";1.0;130;SG05
" (id: 1283)";1.0;130;SG06
" (id: 1283)";1.0;130;SG07
" (id: 1283)";1.0;130;SG08
" (id: 1283)";1.0;130;SG09
" (id: 1283)";1.0;130;SG10
" (id: 1283)";1.0;130;SG11
" (id: 1283)";1.0;130;SG12
" (id: 1283)";1.0;130;SG13
" (id: 1283)";1.0;130;SG14
" (id: 1283)";1.0;130;VG01
" (id: 1283)";1.0;130;VG02
" (id: 1283)";1.0;130;VG03
" (id: 1283)";1.0;130;VG04
" (id: 1283)";1.0;130;VG05
" (id: 1283)";1.0;130;VG06
" (id: 1283)";1.0;130;VG07
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;B01
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;B02
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;B03
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;B04
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;B05
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;CB01
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;SB01
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";-1.0;101;SB02
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;101
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;102
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;103
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;104
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;106
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;107
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;C101
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;C102
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;C103
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;L101
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;S101
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;S102
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;S103
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.0;101;S104
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.5;101;201
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.5;101;202
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.5;101;C1M01
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";2.5;101;S1M01
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;CG01
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;CG02
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;CG03
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;CG04
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G02
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G03
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G04
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G05
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G07
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G07A
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G07B
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G08
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G09
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G10
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G12
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G14
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G15
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G16
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G17
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G18
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G19
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G20
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G20A
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G21
"BEAUREPAIRE CENTRE (BUILDING 101) (id: 1533)";1.0;101;G23
