Building;z;Floor label prefix;Floorplan label
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;01
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;01A
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;01B
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;03
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;04
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;04A
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;05
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;06
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;07
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;08
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;09
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;10
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;107A
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;11
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;116
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;12
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;13
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;14
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;15
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;16
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;17
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;18
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;19
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;20
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;21
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;21A
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;21B
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;21C
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;22
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;23
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;24
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;25
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;26
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;27
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;28
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;28A
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;29
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;30
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;31
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;32
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;33
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;34
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;35
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;36
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;37
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;38
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;39
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;40
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;41
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;42
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;42A
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;42B
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;43
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;44
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;45
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;46
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;47
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;47B
"49 GRAHAM STREET, SHEPPARTON (BUILDING 696) (id: 1792)";1.0;696;47C
