Building;z;Floor label prefix;Floorplan label
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;CG01
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;CG02
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;CG03
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;CG04
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G01
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G02
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G03
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G04
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G05
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G06
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G07
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G08
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G09
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G10
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G11
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G12
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G13
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G14
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G15
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G16
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G17
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G18
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G19
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G20
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G21
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G22
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G23
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G24
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G25
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G26
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G27
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G28
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G29
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G30
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G33
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G35
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G36
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G37
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G38
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G39
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G40
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G42
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G43
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G44
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G45
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G46
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G47
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G48
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G49
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G50
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G51
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G52
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G53
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G54
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G55
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G56
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G57
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G58
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G59
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G60
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G61
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G62
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;G63
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;LG01
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;SG02
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;SG03
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;SG04
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;SG05
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;SG06
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;SG07
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";1.0;298;SG08
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;101
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;102
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;103
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;104
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;106
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;107
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;108
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;109
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;110
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;111
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;112
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;113
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;114
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;115
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;116
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;117
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;118
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;119
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;120
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;121
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;122
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;123
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;124
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;125
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;126
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;127
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;128
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;129
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;130
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;131
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;132
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;133
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;134
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;135
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;136
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;137
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;138
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;139
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;140
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;C101
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;GM01
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;GM02
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;GM03
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;L101
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;S101
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;S102
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;S103
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;S104
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;S105
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;S106
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";2.0;298;S108
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;201
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;202
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;203
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;204
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;205
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;206
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;207
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;208
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;209
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;210
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;211
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;214
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;215
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;216
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;217
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;218
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;219
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;220
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;221
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;222
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;223
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;224
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;225
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;226
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;228
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;L201
"MELBOURNE THEATRE COMPANY - HQ (BUILDING 298) (id: 1779)";3.0;298;S202
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B03
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B04
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B05
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B06
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B07
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B08
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B10
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B11
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B11.01
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;B12
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;CB01
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;LB01
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";-1.0;860;SB01
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";2.0;860;101
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";2.0;860;102
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";2.0;860;103
"ELISABETH MURDOCH (BUILDING 860)  (id: 1780)";2.0;860;104
