Building;z;Floor label prefix;Floorplan label
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG01
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG02
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG03
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG04
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG05
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG06
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG07
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG08
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG09
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG10
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG11
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG12
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG13
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG14
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG15
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG16
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG17
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG18
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG18A
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG18B
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG18C
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG19
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG20
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG21
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;CG22
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G001
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G002
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G003
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G004
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G005
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G006
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G006.01
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G007
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G007.01
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G007.02
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G007.03
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G007A
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G007A.01
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G008
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G009
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G010
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G011
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G012
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G013
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G015
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G016
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G017
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G018
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G019
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G020
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G021
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G022
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G023
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G025
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G026
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G027
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G028
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G029
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G031
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G032
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G033
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G034
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G035
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G036
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G037
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G038
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G039
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G040
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G041
"VETERINARY HOSPITAL (BUILDING 411) (id: 1797)";1.0;411;G042
